No.,IO Name,State,Comment,,,
1,C_EPV_79,Open,LOX 0.5 inch line,,,
2,C_EPV_76,Close,LOX 2 inch line,,,
3,N_EPV_108,Open,LOX pressurent,,,
4,N_EPV_125,Close,LOX Purge,,,
5,N_EPV_128,Close,LOX purge,,,
6,C_EPV_8,Open,LOX Feed,,,
7,C_EPV_4,Close,LOX Fill,,,
8,C_EPV_11,Open,LOX Feed,,,
9,C_EPV_14,Close,LOX vent,,,
10,C_EPV_13,Close,LOX MOV,,,
11,N_EPV_190,Open,LOX seal-bearing purge,,,
12,N_EPV_138,Close,Igniter purge,,,
13,N_EPV_185,Close,Igniter purge,,,
14,N_EPV_157,Close,ATF vent,,,
15,N_EPV_149,Open,ATF pressurent,,,
16,N_EPV_174,Close,ATF Purge,,,
17,N_EPV_178,Close,ATF Purge,,,
18,F_EPV_38,Open,ATF feed,,,
19,F_EPV_41,Open,ATF feed,,,
20,F_EPV_43,Close,ATF prime-drain,,,
21,F_EPV_45,Close,ATF MFV,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
